Animal_Name,Population,Status,Country,Continent,Year,Extinction_Rate
Elephant(Asian),50000,Endangered,"India,Sri lanka, Borneo, Sumatra",Africa,,
Elephant(African),415000,Endangered,"Botswana, Tanzania, Zimbabwe, Kenya, Zambia, South Africa",Asia,,
Panda,"1,864",Vulnerable,China,Asia,,
Arctic Fox,6400,Least Concern,"Alaska, Canada, Greenland, Russia, Norway, Scandinavia, Iceland","North America, Europe",,
Chimpanzee,250000,Endangered,"Angola, Burundi, Cameroon, Central African Republic, Rep. of Congo, Dem. Rep. of Congo, Côte d'Ivoire, Equatorial Guinea, Gabon, Ghana, Guinea, Guinea-Bissau, Liberia, Mali, Nigeria, Rwanda, Senegal, Sierra Leone, Sudan, Uganda",Africa,,
Jaguars,15000,Near Threatened,Brazil,South America,,
Lion,"22,500",Vulnerable,India,"Africa, Asia",,
Panther,,Endangered,"Southwestern China, Burma, Nepal, Southern India, Indonesia, the southern part of Malaysia",Asia,,
Rhino(Black),"5,500",Critically Endangered,"South Africa, Namibia, Zimbabwe, Kenya",Africa,,
Rhino(White),"18,000",Near Threatened,"South Africa, Namibia, Zimbabwe, Kenya",Africa,,
Rhino(Greater One-Horned Rhino),"3,700",Vulnerable,"Nepal, Bhutan, Pakistan",Asia,,
Rhino(Javan),60,Critically Endangered,"Java, Indonesia",Asia,,
Rhino(Sumatran),80,Critically Endangered,"Sumatra,Borneo",Asia,,
Cheetah,"7,100",Vulnerable,"Africa, Southwest Asia, India","Africa, Asia",,
